timestamp,temp_C,humidity,eco2_ppm,tvoc
2026-03-19T07:49:32+00:00,22.9,71.2,425.0,35.0
2026-03-19T07:49:42+00:00,22.9,71.3,438.0,41.0
2026-03-19T07:49:52+00:00,22.9,71.3,448.0,46.0
2026-03-19T07:50:02+00:00,22.9,71.2,437.0,41.0
2026-03-19T07:50:12+00:00,22.9,71.3,447.0,45.0
2026-03-19T07:50:22+00:00,23.0,71.2,433.0,38.0
2026-03-19T07:50:32+00:00,23.0,71.1,457.0,50.0
2026-03-19T07:50:42+00:00,23.0,71.1,457.0,50.0
2026-03-19T07:50:52+00:00,22.9,71.1,437.0,40.0
2026-03-19T07:51:02+00:00,23.0,71.0,411.0,29.0
2026-03-19T07:51:12+00:00,23.0,71.1,448.0,46.0
2026-03-19T07:51:22+00:00,23.0,71.0,455.0,49.0
2026-03-19T07:51:32+00:00,23.0,70.9,425.0,35.0
2026-03-19T07:51:42+00:00,23.0,70.9,441.0,42.0
2026-03-19T07:51:52+00:00,23.0,70.8,446.0,45.0
2026-03-19T07:52:02+00:00,23.0,71.0,441.0,42.0
2026-03-19T07:52:12+00:00,23.0,70.9,429.0,37.0
2026-03-19T07:52:22+00:00,23.0,70.9,441.0,42.0
2026-03-19T07:52:32+00:00,23.0,70.8,428.0,36.0
2026-03-19T07:52:42+00:00,23.0,71.0,425.0,35.0
2026-03-19T07:52:52+00:00,23.0,70.9,448.0,46.0
2026-03-19T07:53:02+00:00,23.0,70.9,423.0,34.0
2026-03-19T07:53:12+00:00,23.0,70.9,411.0,29.0
2026-03-19T07:53:22+00:00,23.0,70.8,413.0,29.0
2026-03-19T07:53:32+00:00,23.0,70.8,410.0,28.0
2026-03-19T07:53:42+00:00,23.0,70.9,449.0,46.0
2026-03-19T07:53:52+00:00,23.0,71.0,445.0,44.0
2026-03-19T07:54:02+00:00,23.0,71.0,427.0,36.0
2026-03-19T07:54:12+00:00,23.0,70.9,409.0,28.0
2026-03-19T07:54:22+00:00,23.0,71.0,436.0,40.0
2026-03-19T07:54:32+00:00,23.0,71.1,440.0,42.0
2026-03-19T07:54:42+00:00,23.0,70.8,441.0,43.0
2026-03-19T07:54:52+00:00,23.0,71.1,448.0,46.0
2026-03-19T07:55:02+00:00,23.0,70.9,424.0,35.0
2026-03-19T07:55:12+00:00,23.0,70.9,445.0,44.0
2026-03-19T07:55:22+00:00,23.0,70.9,461.0,52.0
2026-03-19T07:55:32+00:00,23.0,71.0,459.0,51.0
2026-03-19T07:55:42+00:00,23.0,70.9,436.0,40.0
2026-03-19T07:55:52+00:00,23.0,70.8,442.0,43.0
2026-03-19T07:56:02+00:00,23.0,70.7,433.0,38.0
2026-03-19T07:56:12+00:00,23.0,70.8,430.0,37.0
2026-03-19T07:56:22+00:00,23.0,70.8,413.0,30.0
2026-03-19T07:56:32+00:00,22.9,70.8,413.0,30.0
2026-03-19T07:56:42+00:00,23.0,70.9,429.0,37.0
2026-03-19T07:56:52+00:00,23.0,70.9,428.0,36.0
