timestamp,temp_C,humidity,eco2_ppm,tvoc
2026-03-23T08:00:00Z,21.48,75.57,751.9,38.3
2026-03-23T08:00:10Z,21.49,75.4,780.6,44.0
2026-03-23T08:00:20Z,21.45,75.22,804.2,45.7
2026-03-23T08:00:30Z,21.45,75.31,814.5,47.5
2026-03-23T08:00:40Z,21.50,75.32,826.4,47.0
2026-03-23T08:00:50Z,21.53,75.18,834.1,46.5
2026-03-23T08:01:00Z,21.55,75.06,851.5,47.0
2026-03-23T08:01:10Z,21.55,75.01,862.1,48.7
2026-03-23T08:01:20Z,21.51,74.83,862.7,53.0
2026-03-23T08:01:30Z,21.48,74.82,867.2,53.7
2026-03-23T08:01:40Z,21.51,74.77,874.5,54.5
2026-03-23T08:01:50Z,21.55,74.92,881.4,56.8
2026-03-23T08:02:00Z,21.51,74.84,884.1,57.3
2026-03-23T08:02:10Z,21.50,74.75,897.0,61.8
2026-03-23T08:02:20Z,21.53,74.72,900.7,63.1
2026-03-23T08:02:30Z,21.55,74.6,897.2,60.4
2026-03-23T08:02:40Z,21.53,74.6,906.6,62.7
2026-03-23T08:02:50Z,21.50,74.67,901.8,62.3
2026-03-23T08:03:00Z,21.49,74.78,899.0,64.5
2026-03-23T08:03:10Z,21.52,74.91,907.1,67.3
2026-03-23T08:03:20Z,21.53,74.92,902.8,68
2026-03-23T08:03:30Z,21.53,74.71,913.8,68
2026-03-23T08:03:40Z,21.54,74.79,920.8,68
2026-03-23T08:03:50Z,21.59,74.73,924.5,65.9
2026-03-23T08:04:00Z,21.55,74.6,933.1,68
2026-03-23T08:04:10Z,21.52,74.6,925.5,68
2026-03-23T08:04:20Z,21.51,74.6,923.8,65.1
2026-03-23T08:04:30Z,21.51,74.6,918.2,66.5
2026-03-23T08:04:40Z,21.51,74.71,917.9,64.8
2026-03-23T08:04:50Z,21.51,74.6,919.6,65.3
2026-03-23T08:05:00Z,21.48,74.69,919.2,65.4
2026-03-23T08:05:10Z,21.44,74.6,922.5,66.6
2026-03-23T08:05:20Z,21.40,74.6,929.0,65.8
2026-03-23T08:05:30Z,21.39,74.67,928.8,67.0
2026-03-23T08:05:40Z,21.42,74.81,921.8,65.2
2026-03-23T08:05:50Z,21.36,74.75,917.4,64.0
2026-03-23T08:06:00Z,21.30,74.87,914.4,64.8
2026-03-23T08:06:10Z,21.25,74.74,917.0,68
2026-03-23T08:06:20Z,21.27,74.82,913.2,68
2026-03-23T08:06:30Z,21.28,74.63,917.7,66.7
2026-03-23T08:06:40Z,21.23,74.79,921.3,68
2026-03-23T08:06:50Z,21.19,74.74,929.1,64.7
2026-03-23T08:07:00Z,21.13,74.63,931.7,62.8
2026-03-23T08:07:10Z,21.10,74.6,938.9,59.9
2026-03-23T08:07:20Z,21.12,74.61,930.8,62.5
2026-03-23T08:07:30Z,21.09,74.6,931.9,63.9
2026-03-23T08:07:40Z,21.03,74.71,925.7,61.9
2026-03-23T08:07:50Z,20.99,74.72,924.9,65.5
2026-03-23T08:08:00Z,20.94,74.81,931.6,68
2026-03-23T08:08:10Z,20.93,74.92,923.9,68
2026-03-23T08:08:20Z,20.91,74.77,932.1,67.9
2026-03-23T08:08:30Z,20.90,74.82,927.9,66.2
2026-03-23T08:08:40Z,20.90,74.91,922.2,66.8
2026-03-23T08:08:50Z,20.90,75.07,925.2,64.5
2026-03-23T08:09:00Z,20.91,75.03,925.9,62.2
2026-03-23T08:09:10Z,20.90,75.09,933.1,66.2
2026-03-23T08:09:20Z,20.95,75.07,930.6,66.1
2026-03-23T08:09:30Z,20.90,74.95,928.6,67.3
2026-03-23T08:09:40Z,20.95,75.09,932.5,68
2026-03-23T08:09:50Z,20.97,75.0,931.0,68
2026-03-23T08:10:00Z,20.98,74.82,931.9,64.9
2026-03-23T08:10:10Z,20.94,74.78,923.8,66.0
2026-03-23T08:10:20Z,20.92,74.67,917.1,66.1
2026-03-23T08:10:30Z,20.90,74.6,922.0,62.7
2026-03-23T08:10:40Z,20.95,74.75,925.9,63.5
2026-03-23T08:10:50Z,20.97,74.63,927.3,61.2
2026-03-23T08:11:00Z,21.01,74.74,921.6,61.4
2026-03-23T08:11:10Z,20.98,74.71,925.1,64.5
2026-03-23T08:11:20Z,20.93,74.7,924.1,66.5
2026-03-23T08:11:30Z,20.96,74.74,921.7,65.3
2026-03-23T08:11:40Z,20.98,74.6,918.9,66.9
2026-03-23T08:11:50Z,21.02,74.6,916.5,68
2026-03-23T08:12:00Z,21.08,74.69,923.4,68
2026-03-23T08:12:10Z,21.08,74.71,917.9,66.2
2026-03-23T08:12:20Z,21.11,74.6,917.0,68
2026-03-23T08:12:30Z,21.15,74.72,917.6,68
2026-03-23T08:12:40Z,21.14,74.69,916.4,68
2026-03-23T08:12:50Z,21.10,74.82,918.9,68
2026-03-23T08:13:00Z,21.10,74.88,912.7,68
2026-03-23T08:13:10Z,21.10,74.72,911.1,68
2026-03-23T08:13:20Z,21.11,74.6,906.7,67.5
2026-03-23T08:13:30Z,21.07,74.64,903.4,68
2026-03-23T08:13:40Z,21.08,74.6,903.5,68
2026-03-23T08:13:50Z,21.11,74.66,907.8,67.2
