timestamp,temp_C,humidity,eco2_ppm,tvoc
2026-03-23T08:00:00Z,22.78,75.57,451.9,38.3
2026-03-23T08:00:10Z,22.79,75.4,480.6,44.0
2026-03-23T08:00:20Z,22.75,75.22,504.2,45.7
2026-03-23T08:00:30Z,22.75,75.31,514.5,47.5
2026-03-23T08:00:40Z,22.8,75.32,526.4,47.0
2026-03-23T08:00:50Z,22.83,75.18,534.1,46.5
2026-03-23T08:01:00Z,22.85,75.06,551.5,47.0
2026-03-23T08:01:10Z,22.85,75.01,562.1,48.7
2026-03-23T08:01:20Z,22.81,74.83,562.7,53.0
2026-03-23T08:01:30Z,22.78,74.82,567.2,53.7
2026-03-23T08:01:40Z,22.81,74.77,574.5,54.5
2026-03-23T08:01:50Z,22.85,74.92,581.4,56.8
2026-03-23T08:02:00Z,22.81,74.84,584.1,57.3
2026-03-23T08:02:10Z,22.8,74.75,597.0,61.8
2026-03-23T08:02:20Z,22.83,74.72,600.7,63.1
2026-03-23T08:02:30Z,22.85,74.6,597.2,60.4
2026-03-23T08:02:40Z,22.83,74.6,606.6,62.7
2026-03-23T08:02:50Z,22.8,74.67,601.8,62.3
2026-03-23T08:03:00Z,22.79,74.78,599.0,64.5
2026-03-23T08:03:10Z,22.82,74.91,607.1,67.3
2026-03-23T08:03:20Z,22.83,74.92,602.8,68
2026-03-23T08:03:30Z,22.83,74.71,613.8,68
2026-03-23T08:03:40Z,22.84,74.79,620.8,68
2026-03-23T08:03:50Z,22.89,74.73,624.5,65.9
2026-03-23T08:04:00Z,22.85,74.6,633.1,68
2026-03-23T08:04:10Z,22.82,74.6,625.5,68
2026-03-23T08:04:20Z,22.81,74.6,623.8,65.1
2026-03-23T08:04:30Z,22.81,74.6,618.2,66.5
2026-03-23T08:04:40Z,22.81,74.71,617.9,64.8
2026-03-23T08:04:50Z,22.81,74.6,619.6,65.3
2026-03-23T08:05:00Z,22.78,74.69,619.2,65.4
2026-03-23T08:05:10Z,22.74,74.6,622.5,66.6
2026-03-23T08:05:20Z,22.7,74.6,629.0,65.8
2026-03-23T08:05:30Z,22.69,74.67,628.8,67.0
2026-03-23T08:05:40Z,22.72,74.81,621.8,65.2
2026-03-23T08:05:50Z,22.66,74.75,617.4,64.0
2026-03-23T08:06:00Z,22.6,74.87,614.4,64.8
2026-03-23T08:06:10Z,22.55,74.74,617.0,68
2026-03-23T08:06:20Z,22.57,74.82,613.2,68
2026-03-23T08:06:30Z,22.58,74.63,617.7,66.7
2026-03-23T08:06:40Z,22.53,74.79,621.3,68
2026-03-23T08:06:50Z,22.49,74.74,629.1,64.7
2026-03-23T08:07:00Z,22.43,74.63,631.7,62.8
2026-03-23T08:07:10Z,22.4,74.6,638.9,59.9
2026-03-23T08:07:20Z,22.42,74.61,630.8,62.5
2026-03-23T08:07:30Z,22.39,74.6,631.9,63.9
2026-03-23T08:07:40Z,22.33,74.71,625.7,61.9
2026-03-23T08:07:50Z,22.29,74.72,624.9,65.5
2026-03-23T08:08:00Z,22.24,74.81,631.6,68
2026-03-23T08:08:10Z,22.23,74.92,623.9,68
2026-03-23T08:08:20Z,22.21,74.77,632.1,67.9
2026-03-23T08:08:30Z,22.2,74.82,627.9,66.2
2026-03-23T08:08:40Z,22.2,74.91,622.2,66.8
2026-03-23T08:08:50Z,22.2,75.07,625.2,64.5
2026-03-23T08:09:00Z,22.21,75.03,625.9,62.2
2026-03-23T08:09:10Z,22.2,75.09,633.1,66.2
2026-03-23T08:09:20Z,22.25,75.07,630.6,66.1
2026-03-23T08:09:30Z,22.2,74.95,628.6,67.3
2026-03-23T08:09:40Z,22.25,75.09,632.5,68
2026-03-23T08:09:50Z,22.27,75.0,631.0,68
2026-03-23T08:10:00Z,22.28,74.82,631.9,64.9
2026-03-23T08:10:10Z,22.24,74.78,623.8,66.0
2026-03-23T08:10:20Z,22.22,74.67,617.1,66.1
2026-03-23T08:10:30Z,22.2,74.6,622.0,62.7
2026-03-23T08:10:40Z,22.25,74.75,625.9,63.5
2026-03-23T08:10:50Z,22.27,74.63,627.3,61.2
2026-03-23T08:11:00Z,22.31,74.74,621.6,61.4
2026-03-23T08:11:10Z,22.28,74.71,625.1,64.5
